-,-,-,7,|,.,|,-,7,F,7,.,-,F,F,-,7,7,F,F,7,J,-,L,-,7,7,.,J,F,-,.,F,L,J,-,7,.,F,7,7,F,7,-,J,-,L,7,L,F,7,J,.,L,7,.,-,L,-,.,F,7,-,7,F,7,-,|,-,F,-,-,-,.,.,F,F,F,7,-,L,|,.,|,.,.,-,.,|,J,.,F,-,7,7,-,-,7,7,|,-,-,J,.,L,F,L,F,7,F,-,|,7,-,|,.,L,F,F,-,F,J,7,F,L,-,-,7,F,-,F,J,-,J,-,L,.,F,F,J
L,7,-,-,F,.,F,-,F,7,-,7,J,.,.,|,L,-,-,-,J,L,.,J,7,.,7,7,7,L,L,F,|,L,|,F,J,-,L,J,-,J,L,F,J,|,F,L,-,|,.,L,7,|,F,-,J,F,J,F,J,|,|,-,L,7,|,|,-,F,7,J,|,F,J,L,J,|,|,-,7,|,F,F,L,7,.,.,|,.,-,-,|,L,-,J,|,L,-,J,J,J,J,F,L,L,7,L,7,-,-,J,J,7,L,F,.,7,J,-,J,-,-,-,L,J,7,F,|,J,L,L,.,|,7,|,7,F,|,7
F,J,-,-,J,.,|,.,|,L,7,J,|,-,-,7,F,L,J,J,F,.,F,F,F,-,-,-,|,|,L,-,J,F,-,F,7,.,L,|,L,|,F,|,7,-,7,-,F,L,7,-,L,F,J,-,|,J,-,|,7,L,.,F,-,L,7,J,7,|,F,7,7,F,L,7,|,-,J,F,7,|,F,7,F,F,7,F,F,7,7,.,L,-,.,.,J,|,|,L,L,7,F,7,7,|,7,J,.,.,7,J,L,F,F,-,7,L,7,|,F,J,.,F,|,7,|,-,L,7,7,|,F,L,-,J,F,-,J,F
F,|,L,L,J,.,F,-,F,-,J,L,J,J,L,L,-,J,L,F,-,7,7,L,.,L,|,F,L,J,J,|,-,|,F,-,J,7,F,J,J,F,J,|,L,7,L,-,J,F,|,.,F,7,.,L,7,.,F,L,J,.,7,J,F,-,L,|,-,F,.,|,7,7,J,F,F,J,L,L,L,-,J,F,-,|,|,|,L,J,J,.,L,.,7,7,-,L,7,-,L,J,7,-,-,-,|,7,F,F,7,|,.,L,-,J,7,F,F,-,-,.,F,7,|,L,F,7,L,L,J,7,7,7,.,|,F,-,-,-
J,.,.,|,F,-,7,|,J,.,|,F,L,F,.,L,|,.,L,-,.,F,-,-,F,-,F,-,.,F,F,J,-,7,J,-,L,F,-,J,-,|,.,|,-,7,.,|,F,F,-,L,|,|,7,|,F,7,7,-,|,F,L,.,L,.,7,|,.,L,7,L,-,|,L,F,-,-,7,|,L,J,7,|,F,-,-,J,F,J,.,F,.,|,.,7,.,F,|,-,|,.,J,-,|,J,|,.,|,-,|,-,L,.,|,F,7,J,J,7,.,.,|,|,L,L,.,|,.,|,F,7,.,-,7,7,L,-,-,L
|,L,7,7,|,F,|,-,7,F,F,J,.,7,-,-,-,-,7,J,L,-,-,F,7,7,L,J,-,L,J,L,F,L,J,J,L,J,L,L,-,L,-,-,-,J,F,-,|,7,L,L,|,L,7,7,J,.,F,7,-,|,.,L,-,7,-,J,7,L,7,-,-,J,-,F,7,|,L,J,7,L,L,L,7,J,J,7,F,-,|,-,F,-,-,7,-,F,7,-,7,.,|,L,-,7,7,-,L,-,-,-,.,7,-,-,|,J,L,7,-,J,|,L,.,.,F,J,.,F,L,J,-,F,|,.,F,|,-,J
7,L,L,F,-,F,F,7,7,-,J,.,-,J,F,|,J,-,|,J,.,|,7,|,F,-,J,-,J,J,L,7,J,F,7,7,.,|,7,|,F,-,L,|,F,F,7,-,F,J,7,-,L,7,L,7,F,7,|,|,|,.,|,7,L,|,J,.,.,|,|,|,|,.,F,|,-,-,7,L,-,L,7,L,L,7,.,L,|,|,L,.,L,-,7,L,7,|,|,F,7,7,F,-,|,.,J,-,F,-,.,.,.,-,7,7,.,J,F,J,7,|,|,F,-,F,F,7,.,|,J,J,L,-,F,.,F,L,J,|
L,-,F,L,7,-,J,L,|,.,7,-,7,F,L,F,F,-,F,-,-,7,7,-,L,J,|,F,L,F,-,7,F,7,J,|,F,L,F,-,7,.,.,.,L,J,J,L,F,-,F,-,7,L,7,|,|,|,|,L,7,F,L,7,7,J,.,F,J,J,F,F,F,-,J,J,L,|,F,J,-,-,L,J,.,|,7,J,F,|,7,F,|,F,L,7,|,|,L,J,L,7,J,J,|,J,|,-,L,-,J,-,L,L,J,-,-,7,|,F,J,J,L,7,.,|,J,|,.,L,|,7,F,L,L,-,|,J,7,F
|,-,-,J,J,F,-,7,L,-,7,|,L,-,J,L,L,7,L,L,J,|,|,.,L,J,F,F,F,L,7,L,J,|,F,L,F,7,L,L,L,7,F,F,J,J,F,L,|,F,L,7,|,J,|,L,J,L,J,F,J,7,L,J,J,7,F,|,|,L,F,J,F,-,7,J,.,7,7,7,F,-,L,-,.,7,7,F,|,J,L,F,-,7,F,J,|,|,F,-,-,J,.,F,7,-,|,7,L,7,J,|,F,L,|,7,F,-,-,-,.,F,L,J,7,J,7,L,-,J,L,L,L,J,J,7,|,F,-,7
7,-,|,L,L,J,.,L,-,|,|,F,|,|,J,|,F,-,-,|,L,-,J,J,|,-,F,L,F,-,J,F,-,J,7,J,|,L,7,J,L,F,7,7,F,L,F,-,7,F,-,J,L,7,L,-,7,F,-,J,J,F,7,J,F,F,F,L,L,-,-,.,L,L,7,F,F,F,7,7,7,|,|,L,F,J,L,F,7,7,F,L,7,L,J,F,J,|,|,F,7,F,7,7,L,-,7,-,F,|,L,F,7,J,L,-,7,.,|,.,F,-,.,L,|,J,|,-,|,F,L,-,J,.,F,J,|,|,-,L
J,L,F,-,7,-,7,J,.,L,L,|,-,J,|,L,|,F,-,7,.,|,.,F,L,.,L,-,L,-,7,|,L,F,-,7,|,F,J,J,L,|,L,7,J,.,L,7,|,L,-,-,7,L,7,F,J,L,-,-,-,7,F,-,7,7,|,.,L,L,-,L,7,-,L,F,-,J,L,7,F,7,F,7,7,J,F,-,-,7,F,7,L,-,7,L,7,|,|,|,L,J,|,7,L,F,F,7,7,7,F,J,L,7,-,J,|,F,|,F,F,.,-,.,L,F,J,.,7,7,F,F,-,-,|,7,|,J,L,L
|,F,|,.,7,F,L,-,J,.,F,-,7,7,L,7,L,7,F,|,7,7,7,L,.,L,L,F,-,-,J,|,F,J,F,J,|,|,.,F,F,J,F,J,F,F,-,J,L,7,F,7,|,F,J,L,-,7,F,-,-,J,|,F,J,-,F,7,.,L,7,.,|,.,F,L,-,-,7,L,J,|,|,L,-,7,|,F,-,J,|,|,F,7,|,F,J,|,|,|,F,-,J,7,-,F,J,L,-,7,|,F,-,J,7,J,F,7,L,J,L,J,|,F,-,L,J,.,L,F,L,F,7,J,L,J,7,.,F,L
F,J,|,7,L,7,-,J,J,F,L,L,F,-,F,7,|,F,-,L,F,-,7,L,|,J,L,L,-,-,7,|,|,F,J,1,|,|,F,7,L,7,|,F,7,L,-,-,7,|,|,L,J,L,7,F,-,J,L,-,7,F,J,L,7,F,J,L,-,-,7,7,F,F,F,7,F,7,L,7,F,J,|,F,-,J,|,|,F,-,J,|,|,|,|,L,-,J,|,|,|,F,7,F,7,L,-,7,F,J,|,|,-,F,7,F,-,7,-,|,J,F,|,7,F,7,.,F,-,J,J,|,F,7,L,L,|,L,J,J
L,7,J,7,7,.,F,7,.,L,7,|,.,F,-,J,-,L,J,L,J,L,L,-,|,-,F,7,F,F,J,L,J,|,F,7,|,|,|,|,F,J,|,|,|,F,7,F,J,|,L,-,-,7,|,L,7,F,-,-,J,L,7,F,J,|,F,-,7,F,J,F,7,F,J,L,J,L,7,|,L,-,J,L,7,1,|,|,L,-,7,|,|,|,L,-,7,F,J,|,|,|,|,|,|,-,F,J,L,-,J,|,F,J,|,L,7,|,7,|,-,F,J,-,7,J,-,|,.,J,7,F,J,|,7,F,|,|,J,.
L,F,7,F,7,-,|,-,.,|,-,F,F,|,|,.,-,J,F,|,F,|,.,F,|,7,|,L,7,L,-,-,7,|,|,|,|,L,J,|,L,7,L,J,|,|,|,L,7,L,7,F,7,|,L,7,|,L,-,7,F,7,|,|,F,J,L,7,|,|,F,J,|,L,-,7,F,-,J,|,F,-,-,7,L,-,J,L,-,7,|,|,|,|,F,-,J,|,F,J,L,J,L,J,L,7,L,-,-,-,7,L,J,F,J,F,J,L,-,7,-,7,-,L,-,7,|,|,F,.,|,J,|,|,F,F,J,7,.,J
7,7,F,L,-,-,J,L,F,F,.,|,-,F,7,-,F,F,|,-,7,7,7,F,7,7,|,F,J,F,-,-,J,L,J,L,J,F,7,|,1,L,-,7,|,|,|,F,J,F,J,|,|,L,7,|,L,-,7,L,J,L,J,L,J,F,-,J,L,J,L,7,|,1,F,J,L,7,1,L,J,F,-,J,F,7,F,-,7,|,|,L,J,|,L,-,7,|,L,7,F,-,-,-,-,J,F,7,F,-,J,F,-,J,F,J,F,7,F,J,L,|,.,-,L,7,7,L,L,-,J,-,L,J,.,J,-,L,J,.
-,-,L,.,F,|,J,.,7,7,-,7,L,|,.,F,L,7,J,|,|,|,L,|,|,F,J,|,|,L,-,7,F,7,F,-,-,J,L,J,F,7,F,J,|,|,|,L,7,|,1,|,|,1,|,|,F,7,L,-,7,F,-,-,7,L,-,7,1,F,7,|,L,-,J,F,-,J,F,7,1,L,-,-,J,|,|,1,|,|,|,F,-,J,F,7,|,|,1,|,|,F,7,F,7,F,J,|,L,-,7,|,F,-,J,F,J,L,J,|,.,L,F,7,F,J,-,7,|,J,|,.,L,F,J,J,J,7,|,7
|,J,.,F,7,J,7,L,J,L,F,7,.,|,7,-,-,|,J,J,L,F,-,|,|,|,F,J,F,7,|,L,J,|,|,F,-,-,7,F,J,|,L,7,L,J,L,-,J,L,7,|,L,7,|,L,J,|,F,7,|,|,F,7,L,-,-,J,F,J,|,|,F,-,7,|,F,7,|,|,F,-,7,F,7,L,J,F,J,L,J,|,F,7,|,|,|,L,-,J,L,J,L,J,|,L,7,L,7,1,|,|,L,7,F,J,J,.,F,J,-,J,J,|,|,L,F,F,J,L,7,7,-,7,7,|,.,F,L,.
-,-,F,7,L,-,J,-,L,.,L,J,J,.,|,J,-,|,7,7,-,F,7,|,|,|,|,F,J,|,F,-,-,J,|,L,7,F,J,L,7,L,7,|,F,-,-,-,-,-,J,|,F,J,L,7,F,J,|,|,|,|,|,|,F,7,F,7,L,7,|,L,J,1,|,|,|,|,|,|,|,F,J,|,L,7,F,J,F,-,7,|,|,|,|,|,|,F,-,-,7,F,-,7,|,F,J,F,J,F,J,L,7,|,|,F,7,F,L,7,F,-,7,F,-,7,F,7,L,F,-,-,J,L,-,-,F,F,J,F
|,.,|,|,7,|,.,7,L,7,|,|,L,F,|,7,.,L,L,7,.,|,L,J,|,|,|,L,7,|,L,-,-,7,|,1,|,L,-,7,L,7,|,|,|,1,F,-,7,F,-,J,|,F,7,|,L,7,|,|,|,L,J,L,J,L,J,L,7,|,L,7,F,-,J,|,|,L,J,|,|,L,7,L,7,|,L,7,|,F,J,|,|,|,|,|,|,L,-,7,L,J,1,L,J,L,7,|,F,J,F,-,J,|,L,J,L,7,L,|,J,J,F,L,7,|,7,|,-,7,.,|,-,L,F,J,.,L,J,L
7,-,F,L,7,F,F,J,7,.,F,7,J,F,F,-,7,J,L,L,F,J,F,7,L,J,L,7,|,|,1,F,-,J,L,-,J,F,-,J,F,J,|,|,L,7,|,F,J,L,-,7,|,|,|,L,7,L,J,L,J,F,-,-,-,-,-,-,J,|,F,J,L,-,7,|,|,F,-,J,L,7,|,1,|,L,7,L,J,L,7,|,|,|,|,|,|,F,-,J,1,F,7,1,F,7,|,|,|,F,J,F,-,J,F,-,-,J,-,J,F,7,-,L,|,|,F,7,-,|,J,.,.,|,.,L,J,F,7,|
|,7,L,F,L,J,L,-,J,.,|,|,F,7,|,.,|,7,F,J,L,-,J,L,7,F,7,L,J,L,7,L,-,-,-,-,7,|,1,F,J,F,J,L,7,L,J,L,7,F,7,|,L,J,L,7,L,-,7,F,-,J,F,-,-,-,7,F,7,|,L,7,F,7,|,|,|,|,F,7,1,|,L,7,L,7,L,-,-,-,J,L,J,|,|,|,|,|,F,-,7,|,L,7,|,|,|,|,|,|,1,|,F,-,J,F,7,.,|,7,|,J,F,F,J,L,J,|,J,|,L,7,7,7,F,F,L,L,-,7
7,7,7,7,F,|,F,.,L,7,-,-,J,|,F,|,F,F,-,7,L,F,-,-,J,|,L,-,7,F,J,F,-,-,-,-,J,L,7,L,7,L,7,F,J,F,-,-,J,|,|,L,7,F,-,J,1,F,J,L,-,7,L,7,F,7,|,|,L,J,F,J,|,|,|,L,J,L,J,L,7,L,7,L,7,L,-,-,-,-,-,-,7,L,J,|,|,|,|,F,J,|,F,J,|,|,|,|,|,L,-,J,|,F,7,|,|,F,7,F,-,7,F,J,F,-,-,J,7,L,F,J,.,F,7,7,7,-,|,J
|,L,.,-,L,|,J,-,-,-,7,|,.,F,7,.,F,L,-,F,-,L,-,-,7,|,F,-,J,L,7,L,-,-,-,-,7,F,J,1,|,F,J,L,7,L,7,F,7,|,|,1,|,|,F,7,F,J,F,-,-,J,F,J,|,L,J,L,-,7,L,7,|,|,L,-,-,7,F,-,J,F,J,F,J,F,-,-,-,-,-,7,L,-,7,L,J,|,|,L,-,J,L,7,|,|,|,|,|,F,7,F,J,|,|,|,|,|,|,|,F,J,L,7,L,7,.,F,J,-,|,.,-,J,L,.,.,F,|,J
|,.,L,-,F,L,|,J,7,.,L,J,F,|,|,-,L,J,F,|,7,|,F,7,L,J,L,-,-,7,|,1,F,7,F,7,|,|,F,-,J,|,F,7,L,7,|,|,|,|,|,F,J,|,|,|,|,F,J,1,F,7,L,7,|,F,7,F,-,J,F,J,|,L,7,F,7,|,L,-,7,L,7,L,7,L,-,-,7,F,7,L,-,-,J,F,7,L,J,F,-,-,7,|,|,|,|,|,|,|,L,J,F,J,L,J,L,J,L,J,L,7,F,J,F,J,7,F,J,J,|,7,F,F,J,-,|,7,|,.
|,|,F,F,7,.,L,-,-,7,-,F,-,J,|,.,F,F,F,7,F,-,J,L,-,7,F,-,-,J,L,7,|,L,J,|,|,L,J,F,-,J,|,|,1,|,L,J,L,J,|,L,7,|,|,|,|,|,F,7,|,L,7,|,L,J,|,L,-,7,L,7,L,7,|,|,L,J,F,-,J,1,|,F,J,F,-,7,L,J,L,-,-,-,-,J,|,F,-,J,F,7,L,J,|,|,|,|,|,L,-,7,|,F,7,F,-,-,-,-,-,J,|,F,J,|,7,J,L,-,L,7,7,L,-,J,L,L,L,7
J,|,|,7,J,F,F,L,-,L,-,L,-,7,|,F,7,F,|,|,L,-,-,7,F,J,L,-,-,-,7,|,L,-,7,|,L,-,7,|,F,-,J,L,7,L,-,-,-,7,L,7,|,L,J,L,J,L,J,|,L,7,|,|,F,-,J,F,7,L,7,L,-,J,|,L,-,7,L,7,F,7,|,L,7,|,F,J,1,F,7,1,F,7,F,7,|,L,-,-,J,L,7,F,J,|,|,L,J,F,-,J,L,J,|,|,F,7,F,7,1,F,J,L,-,7,.,L,|,L,F,L,J,.,F,7,.,F,|,.
.,F,F,J,7,-,J,J,.,F,F,7,F,|,|,|,|,F,J,L,7,F,7,|,L,7,F,-,-,-,J,|,F,-,J,L,7,F,J,L,J,F,-,-,J,F,7,F,7,L,7,|,L,7,F,7,F,-,-,J,F,J,L,J,L,7,F,J,L,-,J,F,-,-,J,F,7,|,F,J,|,L,J,F,J,|,L,7,F,J,L,-,J,|,|,|,L,7,F,-,-,-,J,L,7,|,|,F,-,J,F,7,1,F,J,L,J,L,J,L,-,J,F,-,-,J,F,7,7,F,J,J,|,F,|,-,F,-,L,.
J,.,J,.,F,-,.,.,F,F,J,L,-,J,L,J,|,|,F,-,J,|,|,L,7,L,J,F,-,-,7,|,L,-,-,7,|,|,F,-,7,L,-,-,7,|,L,J,|,F,J,L,-,J,|,|,L,7,F,7,L,7,F,-,-,J,L,-,-,-,7,|,F,7,F,J,|,|,L,7,|,F,7,L,7,L,7,|,|,F,7,F,7,L,J,|,F,J,L,-,7,F,7,F,J,|,|,L,-,7,|,|,F,J,F,-,7,F,-,-,-,7,L,-,-,-,J,|,J,F,J,7,7,|,J,L,|,J,L,-
J,-,|,F,-,7,F,-,-,|,F,7,F,7,F,7,|,|,|,F,7,|,|,1,L,7,F,J,F,-,J,L,7,F,7,|,|,|,|,1,L,-,-,-,J,L,7,F,J,L,7,F,-,-,J,L,-,J,|,|,1,|,L,7,F,7,F,-,-,7,|,L,J,|,L,7,|,|,F,J,L,J,L,7,|,F,J,|,L,J,L,J,L,-,7,|,|,F,7,F,J,|,|,L,7,|,|,F,-,J,|,|,L,7,L,7,|,L,-,-,7,|,F,-,-,-,-,J,F,J,.,L,-,F,7,.,|,F,7,J
.,L,L,|,L,|,|,|,J,|,|,L,J,L,J,|,L,J,|,|,L,J,|,F,7,L,J,1,L,-,-,7,|,|,|,|,L,J,L,-,-,7,F,7,1,F,J,L,7,F,J,|,F,7,1,1,F,7,|,|,F,J,F,J,|,L,J,F,-,J,L,-,7,|,F,J,|,|,L,7,F,7,1,|,|,L,7,|,1,F,7,F,7,F,J,|,L,J,|,L,-,J,L,7,|,L,J,L,-,7,|,L,-,J,F,J,L,-,-,-,J,|,L,-,-,-,7,L,F,J,-,7,J,|,F,7,J,L,-,-
L,7,F,J,|,L,7,J,-,L,J,F,7,1,1,L,-,7,|,L,7,F,J,|,|,F,7,1,F,7,F,J,L,J,|,L,-,7,F,-,-,J,|,|,F,J,F,-,J,L,7,|,|,L,7,F,J,|,|,|,|,F,J,1,L,-,7,|,1,F,-,-,J,|,|,F,J,|,F,J,|,L,7,|,L,7,|,L,7,|,L,J,|,L,7,L,7,F,J,F,-,-,-,J,|,F,-,-,-,J,L,7,F,7,L,-,-,-,-,7,1,L,-,-,-,-,J,L,|,-,-,L,.,F,L,J,F,7,-,L
.,|,L,-,7,-,J,7,L,|,|,|,|,1,F,-,-,J,L,7,|,L,7,|,|,|,L,-,J,|,L,-,-,7,L,7,F,J,L,-,7,F,J,|,L,7,|,F,7,F,J,|,|,F,J,|,F,J,|,|,|,L,-,7,1,F,J,L,7,L,-,-,7,L,J,L,7,|,|,1,L,7,|,|,F,J,|,F,J,L,-,7,|,F,J,F,J,L,7,|,1,F,7,1,|,|,F,7,F,7,F,J,|,|,F,7,F,7,F,J,F,7,F,7,F,7,7,F,F,7,J,7,-,L,J,F,7,L,|,7
L,F,7,L,7,.,F,-,-,-,F,J,L,7,L,-,-,-,7,|,L,7,|,|,|,L,-,-,7,|,F,-,-,J,F,J,L,-,7,F,J,L,7,L,-,J,|,|,|,L,7,L,J,L,7,|,|,F,J,|,|,F,-,J,F,J,F,-,J,F,-,7,L,-,-,7,|,|,L,7,F,J,|,|,L,7,|,L,7,F,-,J,L,J,F,J,1,F,J,|,F,J,L,7,|,|,|,|,|,L,J,F,J,L,J,L,J,L,J,F,J,L,J,L,J,L,-,7,|,|,J,|,7,.,F,F,J,.,7,7
F,|,|,F,L,7,|,F,J,F,L,-,7,|,F,-,-,-,J,L,-,J,|,|,|,F,7,F,J,|,L,-,-,7,|,F,7,1,|,|,F,7,L,-,7,F,J,|,|,1,L,-,7,F,J,|,|,L,7,|,|,|,F,7,|,F,J,F,7,L,7,|,1,F,7,|,|,|,F,J,L,7,|,|,F,J,L,7,|,L,7,F,-,-,J,F,7,L,7,|,L,7,F,J,|,L,J,|,|,F,-,J,1,F,7,1,F,7,1,L,7,F,-,-,-,-,7,L,J,L,7,J,7,-,-,J,-,7,-,J
F,7,L,J,J,-,J,J,F,F,F,-,J,|,L,-,-,-,-,-,-,7,L,J,|,|,|,L,7,L,-,7,1,|,L,J,|,F,J,|,|,|,F,7,|,|,F,J,|,F,7,F,J,L,7,|,L,7,|,|,|,L,J,|,|,L,7,|,|,F,J,L,7,|,|,|,|,|,|,F,7,|,|,|,L,7,F,J,L,7,|,L,7,F,7,|,|,F,J,L,7,|,|,F,J,F,-,J,|,|,1,F,-,J,L,-,J,L,7,F,J,L,-,-,-,7,L,-,-,-,J,7,F,7,J,.,.,|,|,|
F,7,F,L,7,|,J,-,|,|,L,-,7,L,-,-,-,-,-,-,-,J,F,7,L,J,L,-,J,F,7,|,F,J,F,7,|,|,F,J,|,|,|,|,|,L,J,F,J,|,|,|,F,7,|,|,F,J,|,|,|,F,7,|,L,7,L,J,|,L,7,F,J,|,|,|,|,|,|,|,|,|,|,|,F,J,L,7,1,|,|,F,J,|,|,|,L,J,F,7,L,J,L,J,1,L,-,-,J,L,-,J,F,-,-,7,F,-,J,|,F,-,-,-,-,J,1,F,-,7,.,-,F,.,.,F,L,|,F,|
L,-,7,J,L,7,.,.,F,-,7,.,L,7,F,-,7,F,7,F,-,-,J,L,-,-,7,F,7,|,|,|,L,-,J,|,|,|,|,F,J,L,J,L,J,F,-,J,F,J,|,L,J,|,|,|,L,7,|,|,L,J,|,|,F,J,F,-,J,F,J,L,-,J,|,|,L,J,|,|,L,J,L,J,|,F,-,J,F,J,|,L,7,|,L,J,1,F,J,L,-,-,-,-,-,-,-,7,F,7,F,-,J,F,7,L,J,F,-,J,|,F,7,F,7,F,7,|,F,J,J,.,|,.,|,|,F,L,-,-
|,|,J,7,F,7,7,7,L,7,|,.,L,L,J,1,L,J,L,J,1,F,-,7,F,-,J,|,L,J,|,L,-,-,-,J,L,J,|,L,-,7,F,-,-,J,F,7,|,F,J,F,-,J,L,J,1,|,|,L,7,F,J,|,L,7,L,-,7,|,F,-,-,-,J,|,F,-,J,L,-,-,-,7,|,L,7,1,L,7,L,7,|,L,7,F,7,L,-,7,F,-,7,F,-,-,7,|,|,|,|,F,-,J,L,-,7,|,F,-,J,|,|,|,|,|,|,|,|,7,|,7,-,F,-,F,7,|,L,J
|,|,J,F,|,|,L,7,.,|,L,7,F,-,7,F,7,F,7,1,F,J,F,J,L,-,-,J,1,F,J,F,7,F,-,-,-,7,L,-,7,|,|,F,7,F,J,|,|,L,7,L,-,-,-,-,7,|,|,1,|,L,7,L,7,|,F,-,J,|,L,7,F,-,7,|,L,7,F,7,F,7,F,J,|,F,J,F,7,|,F,J,|,F,J,|,L,-,-,J,L,7,L,J,1,F,J,L,J,L,J,L,7,F,-,-,J,|,|,F,7,|,|,|,|,|,L,J,L,-,7,7,.,|,F,7,-,J,7,7
F,J,-,|,.,|,.,F,7,|,F,J,L,7,L,J,L,J,L,7,L,7,L,-,-,-,-,-,7,L,-,J,L,J,1,F,7,L,7,1,|,|,L,J,|,L,7,|,L,7,L,7,F,-,-,7,|,L,J,F,J,F,J,F,J,|,L,7,F,J,F,J,|,1,|,|,1,L,J,|,|,|,L,7,|,L,-,J,|,|,L,7,L,J,1,L,-,-,7,F,-,J,F,-,-,J,1,F,7,1,F,7,|,|,F,7,1,|,L,J,L,J,L,J,L,J,F,-,-,-,J,J,|,J,-,-,7,|,-,|
|,|,F,|,7,F,7,F,-,J,|,F,7,|,F,-,-,-,7,L,-,J,F,-,-,-,-,7,L,7,1,F,-,7,F,J,L,-,J,F,J,L,-,7,L,7,|,L,-,J,F,J,L,-,7,|,|,F,7,L,7,|,1,L,7,|,F,J,|,F,J,F,J,F,J,L,-,-,7,|,|,L,7,|,L,7,F,7,|,L,7,L,-,7,1,F,7,F,J,|,F,7,L,-,-,-,-,J,L,7,|,|,|,|,|,L,-,J,F,7,F,-,-,-,7,F,J,F,-,7,7,.,.,F,F,F,J,-,-,-
-,|,J,|,F,|,L,J,F,7,|,|,|,L,J,F,7,1,L,-,-,-,J,F,7,F,7,L,7,L,7,|,F,J,L,-,-,7,1,L,7,F,-,J,F,J,L,7,F,-,J,F,7,F,J,|,L,J,|,F,J,L,7,F,J,|,L,7,|,L,7,|,F,J,F,-,7,F,J,|,L,7,L,J,1,|,|,L,J,1,|,F,7,L,7,|,|,L,7,|,|,L,-,-,-,-,-,-,7,L,J,L,J,L,J,F,7,F,J,|,L,-,7,1,|,L,-,J,F,J,-,-,7,J,-,L,|,J,-,|
|,.,L,-,F,L,-,-,J,|,L,J,|,F,7,|,|,F,-,-,-,7,F,J,L,J,|,1,L,7,L,J,|,F,7,F,-,J,F,7,L,J,F,-,J,F,7,|,|,F,7,|,|,L,7,|,F,-,J,|,F,7,|,L,7,|,1,|,|,F,J,|,L,7,L,7,|,L,7,L,7,|,F,-,-,J,|,1,F,7,L,J,L,-,J,|,|,F,J,|,|,F,-,7,F,7,F,7,L,-,7,F,-,7,F,J,L,J,F,J,F,7,|,F,J,F,7,F,J,J,.,L,L,|,.,|,L,7,7,J
.,7,.,F,L,F,-,7,F,J,F,7,L,J,L,J,|,L,-,7,F,J,L,-,-,7,L,-,7,L,-,7,L,J,L,J,F,-,J,L,7,1,L,-,7,|,L,J,|,|,|,|,L,7,|,|,L,-,7,L,J,|,L,7,|,L,7,L,J,L,7,|,F,J,F,J,L,7,L,7,L,J,L,7,F,7,L,-,J,L,-,-,-,-,7,|,|,L,-,J,L,J,1,L,J,L,J,L,-,7,|,L,7,|,L,-,-,7,L,-,J,L,J,|,F,J,|,L,7,J,7,|,.,F,.,.,F,-,-,7
|,F,F,F,7,L,7,|,L,-,J,L,-,-,-,7,|,F,7,|,|,1,F,-,-,J,F,7,L,-,7,L,-,-,-,-,J,F,-,7,L,7,F,7,L,J,1,F,J,|,|,L,7,|,|,L,7,F,J,F,-,J,F,J,L,7,|,F,-,-,J,|,|,F,J,F,7,|,F,J,1,F,7,|,|,L,7,F,-,-,-,7,F,7,|,|,L,-,-,7,F,7,F,-,-,-,-,-,-,J,L,7,|,|,F,-,-,J,F,7,F,7,1,|,|,1,L,-,J,J,L,J,.,J,J,-,7,|,F,7
